UserID,MovieID,Rating,Timestamp,Title,Genres
6727,5673,3.0,1111863291,Punch-Drunk Love (2002),Comedy|Drama|Romance|Thriller
30816,1196,5.0,1144445863,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
46430,1263,4.0,945142550,"Deer Hunter, The (1978)",Drama|War
30272,1183,3.0,953764870,"English Patient, The (1996)",Drama|Romance|War
1479,1210,4.0,1050689805,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
63765,1198,4.0,957844647,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
44802,1527,5.0,955187682,"Fifth Element, The (1997)",Action|Adventure|Sci-Fi
6656,3248,4.0,949344398,Sister Act 2: Back in the Habit (1993),Comedy
2181,786,3.5,1085237367,Eraser (1996),Action|Drama|Thriller
34310,5418,4.5,1225396475,"Bourne Identity, The (2002)",Action|Thriller
5716,6281,3.5,1190359577,Phone Booth (2002),Drama|Thriller
47927,742,3.0,994641221,Thinner (1996),Horror|Thriller
22950,337,3.0,836233103,What's Eating Gilbert Grape (1993),Drama
46059,6857,4.0,1226435619,Ninja Scroll (Jûbei ninpûchô) (1995),Action|Adventure|Animation|Fantasy
64311,2336,4.0,979760819,Elizabeth (1998),Drama
22811,2881,3.0,952408204,Double Jeopardy (1999),Action|Thriller
14415,160,2.0,936490515,Congo (1995),Action|Adventure|Mystery|Sci-Fi
49358,420,3.0,834458504,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
15686,5404,4.0,1057806885,84 Charing Cross Road (1987),Drama|Romance
17878,4896,4.0,1168662100,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
20123,35836,2.5,1169676559,"40 Year Old Virgin, The (2005)",Comedy|Romance
68259,2412,2.0,1001808049,Rocky V (1990),Action|Drama
49047,2005,5.0,1043431273,"Goonies, The (1985)",Adventure|Children|Comedy|Fantasy
52193,2791,4.0,1126359699,Airplane! (1980),Comedy
61287,3551,3.5,1129604014,Marathon Man (1976),Crime|Drama|Thriller
14327,3070,3.0,947911630,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",Adventure|Comedy|Sci-Fi
52564,110,5.0,1228072165,Braveheart (1995),Action|Drama|War
54912,52328,2.5,1208427156,Sunshine (2007),Adventure|Drama|Sci-Fi|Thriller
40851,4002,4.0,1105756709,"Planes, Trains & Automobiles (1987)",Adventure|Comedy|Drama
49746,11,4.0,900895731,"American President, The (1995)",Comedy|Drama|Romance
67385,2337,3.0,1163212914,Velvet Goldmine (1998),Drama
64148,280,4.0,1159405287,Murder in the First (1995),Drama|Thriller
31769,508,2.0,974943484,Philadelphia (1993),Drama
42791,4222,2.5,1105595911,C.H.U.D. (1984),Horror
51415,2746,3.5,1074929444,Little Shop of Horrors (1986),Comedy|Horror|Musical
14772,593,4.0,950382552,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
38410,3401,0.5,1068914792,Baby... Secret of the Lost Legend (1985),Adventure|Sci-Fi
23555,6333,3.0,1116617748,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller
20118,588,4.0,845539114,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
35081,296,5.0,992894054,Pulp Fiction (1994),Comedy|Crime|Drama
47819,4103,4.0,1073504159,Empire of the Sun (1987),Drama|War
42426,2404,1.0,944914081,Rambo III (1988),Action|Adventure|War
21266,2700,2.0,951950405,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical
